Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Director
Taare Zameen Par,2007,165,8.4,"185,367","Directors:Aamir Khan, Amole Gupte"
WALL·E,2008,98,8.4,"1,067,559",Andrew Stanton
The Lives of Others,2006,137,8.4,"379,379",Florian Henckel von Donnersmarck
Oldeuboi,2003,101,8.4,"554,140",Park Chan-wook
Memento,2000,113,8.4,"1,192,556",Christopher Nolan
Mononoke-hime,1997,134,8.4,"375,323",Hayao Miyazaki
Raiders of the Lost Ark,1981,115,8.4,"933,417",Steven Spielberg
The Shining,1980,146,8.4,"969,653",Stanley Kubrick
Apocalypse Now,1979,147,8.4,"642,854",Francis Ford Coppola
Alien,1979,117,8.4,"842,082",Ridley Scott
Tengoku to jigoku,1963,143,8.4,"41,577",Akira Kurosawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,"475,060",Stanley Kubrick
Witness for the Prosecution,1957,116,8.4,"120,110",Billy Wilder
Paths of Glory,1957,88,8.4,"190,880",Stanley Kubrick
Pather Panchali,1955,125,8.4,"30,456",Satyajit Ray
Sunset Blvd.,1950,110,8.4,"215,100",Billy Wilder
The Great Dictator,1940,125,8.4,"217,507",Charles Chaplin
Chhichhore,2019,143,8.3,"47,550",Nitesh Tiwari
Uri: The Surgical Strike,2019,138,8.3,"55,176",Aditya Dhar
Tumbbad,2018,104,8.3,"39,757","Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad"
K.G.F: Chapter 1,2018,156,8.3,"54,515",Prashanth Neel
Vikram Vedha,2017,147,8.3,"35,901","Directors:Gayatri, Pushkar"
Drishyam,2013,160,8.3,"39,570",Jeethu Joseph
Jagten,2012,115,8.3,"313,647",Thomas Vinterberg
Jodaeiye Nader az Simin,2011,123,8.3,"238,130",Asghar Farhadi
Incendies,2010,131,8.3,"168,727",Denis Villeneuve
Jai Bhim,2021,164,9.3,"173,295",T.J. Gnanavel
The Shawshank Redemption,1994,142,9.3,"2,541,091",Frank Darabont
The Godfather,1972,175,9.2,"1,748,410",Francis Ford Coppola
Soorarai Pottru,2020,153,9.1,"107,159",Sudha Kongara
The Dark Knight,2008,152,9,"2,491,371",Christopher Nolan
The Godfather: Part II,1974,202,9,"1,212,675",Francis Ford Coppola
